"","ID","noEvents","CP","INTEREST_RATE","CAT","AMOUNT","CARD_TYPE","DELIVERY_SCORE","TXN","TIMES_USED"
"419",626,8,44100,34,45,29700,"PLASTIC",2,3788.78765507,4
"420",627,6,NA,35,47,6500,"DIGITAL",NA,32690.7569206,3
"421",628,3,NA,35,34,4800,"DIGITAL",NA,NA,NA
"422",629,3,NA,NA,NA,NA,NA,NA,NA,NA
"423",630,8,NA,31,40,6100,"DIGITAL",NA,4408.1149959,5
"424",631,9,44100,44,38,6900,"PLASTIC",0,3485.9125557,5
"425",632,1,NA,NA,NA,NA,NA,NA,NA,NA
"426",635,9,44100,44,37,2500,"PLASTIC",4,7888.101205811,5
"427",636,1,NA,NA,NA,NA,NA,NA,NA,NA
"428",640,5,NA,30,48,24200,"DIGITAL",NA,5847.403592,2
"429",641,5,11560,35,47,22000,"PLASTIC",0,111.558453,1
"430",643,4,NA,38,41,3400,"DIGITAL",NA,984.1242623,1
"431",644,5,44100,34,49,600,"PLASTIC",1,384.8992906,1
"432",645,4,11560,46,31,600,"PLASTIC",1,NA,NA
"433",646,3,NA,NA,NA,NA,NA,NA,NA,NA
"434",647,3,NA,NA,NA,NA,NA,NA,NA,NA
"435",649,1,NA,NA,NA,NA,NA,NA,NA,NA
"436",651,3,NA,33,47,7500,"DIGITAL",NA,NA,NA
"437",652,9,44620,40,36,10600,"PLASTIC",1,4572.76194204,5
"438",653,3,NA,NA,NA,NA,NA,NA,NA,NA
"439",654,3,NA,NA,NA,NA,NA,NA,NA,NA
"440",655,1,NA,NA,NA,NA,NA,NA,NA,NA
"441",656,1,NA,NA,NA,NA,NA,NA,NA,NA
"442",658,4,64000,48,31,12700,"PLASTIC",0,NA,NA
"443",660,4,53100,33,36,3000,"PLASTIC",1,NA,NA
"444",661,5,NA,49,42,29300,"DIGITAL",NA,1445.7082578,2
"445",663,1,NA,NA,NA,NA,NA,NA,NA,NA
"446",664,1,NA,NA,NA,NA,NA,NA,NA,NA
"447",665,3,NA,NA,NA,NA,NA,NA,NA,NA
"448",666,5,NA,35,30,8200,"DIGITAL",NA,1490.9151142,2
"449",668,1,NA,NA,NA,NA,NA,NA,NA,NA
"450",670,1,NA,NA,NA,NA,NA,NA,NA,NA
"451",673,3,NA,NA,NA,NA,NA,NA,NA,NA
"452",674,1,NA,NA,NA,NA,NA,NA,NA,NA
"453",675,6,44100,40,47,40400,"PLASTIC",3,2662.2176767,2
"454",676,3,NA,NA,NA,NA,NA,NA,NA,NA
"455",677,8,53100,37,38,26000,"PLASTIC",3,3402.83413999,4
"456",679,7,44100,46,34,16000,"PLASTIC",1,1756.88288945,3
"457",680,1,NA,NA,NA,NA,NA,NA,NA,NA
"458",682,1,NA,NA,NA,NA,NA,NA,NA,NA
"459",683,6,NA,38,37,8200,"DIGITAL",NA,325.20675873,3
"460",684,4,NA,40,42,23500,"DIGITAL",NA,41.44946375,1
"461",685,1,NA,NA,NA,NA,NA,NA,NA,NA
"462",686,3,NA,NA,NA,NA,NA,NA,NA,NA
"463",687,3,NA,NA,NA,NA,NA,NA,NA,NA
"464",688,4,11560,45,47,20100,"PLASTIC",1,NA,NA
"465",689,3,NA,NA,NA,NA,NA,NA,NA,NA
"466",691,4,NA,30,34,1400,"DIGITAL",NA,85.88247914,1
"467",692,1,NA,NA,NA,NA,NA,NA,NA,NA
"468",694,1,NA,NA,NA,NA,NA,NA,NA,NA
"469",695,3,NA,NA,NA,NA,NA,NA,NA,NA
"470",696,4,11560,34,45,29400,"PLASTIC",3,NA,NA
"471",698,1,NA,NA,NA,NA,NA,NA,NA,NA
"472",699,3,NA,47,38,7000,"DIGITAL",NA,NA,NA
"473",700,3,NA,30,44,22300,"DIGITAL",NA,NA,NA
"474",701,8,44100,44,34,48300,"PLASTIC",2,12876.831899,4
"475",702,3,NA,NA,NA,NA,NA,NA,NA,NA
"476",704,3,NA,42,31,6800,"DIGITAL",NA,NA,NA
"477",705,9,44100,47,48,0,"PLASTIC",3,2563.96795395,5
"478",707,7,44100,37,48,57900,"PLASTIC",0,4850.26267598,3
"479",710,1,NA,NA,NA,NA,NA,NA,NA,NA
"480",711,1,NA,NA,NA,NA,NA,NA,NA,NA
"481",712,6,53100,44,45,27300,"PLASTIC",2,298.66763775,2
"482",713,3,NA,NA,NA,NA,NA,NA,NA,NA
"483",714,1,NA,NA,NA,NA,NA,NA,NA,NA
"484",715,1,NA,NA,NA,NA,NA,NA,NA,NA
"485",716,9,44100,33,43,4500,"PLASTIC",2,6229.669900006,5
"486",717,5,NA,32,42,3900,"DIGITAL",NA,2622.2943063,2
"487",718,6,44100,33,43,4900,"PLASTIC",3,54.42548686,2
"488",719,1,NA,NA,NA,NA,NA,NA,NA,NA
"489",720,6,53100,33,46,800,"PLASTIC",2,1877.1233722,2
"490",722,3,NA,NA,NA,NA,NA,NA,NA,NA
"491",724,3,NA,NA,NA,NA,NA,NA,NA,NA
"492",725,3,NA,NA,NA,NA,NA,NA,NA,NA
"493",726,4,44620,42,45,62500,"PLASTIC",2,NA,NA
"494",727,1,NA,NA,NA,NA,NA,NA,NA,NA
"495",728,8,44620,39,32,7400,"PLASTIC",2,3845.361609,4
"496",729,1,NA,NA,NA,NA,NA,NA,NA,NA
"497",730,6,44620,30,39,36200,"PLASTIC",1,1388.5675489,2
"498",731,1,NA,NA,NA,NA,NA,NA,NA,NA
"499",732,6,64000,37,37,4200,"PLASTIC",1,2508.8249806,2
"500",733,3,NA,NA,NA,NA,NA,NA,NA,NA
"501",734,1,NA,NA,NA,NA,NA,NA,NA,NA
"502",735,1,NA,NA,NA,NA,NA,NA,NA,NA
"503",736,5,44100,35,47,6800,"PLASTIC",1,146.2354114,1
"504",737,6,NA,40,37,33700,"DIGITAL",NA,1084.57702774,3
"505",738,4,NA,37,45,14300,"DIGITAL",NA,867.3974248,1
"506",739,3,NA,NA,NA,NA,NA,NA,NA,NA
"507",740,4,44100,40,38,4700,"PLASTIC",1,NA,NA
"508",741,1,NA,NA,NA,NA,NA,NA,NA,NA
"509",742,3,NA,48,33,27800,"DIGITAL",NA,NA,NA
"510",744,3,NA,NA,NA,NA,NA,NA,NA,NA
"511",745,9,44620,48,36,6100,"PLASTIC",1,3553.46268199,5
"512",746,7,11560,44,33,100,"PLASTIC",3,8778.84626789,3
"513",747,3,NA,NA,NA,NA,NA,NA,NA,NA
"514",748,4,NA,37,35,5400,"DIGITAL",NA,2827.408068,1
"515",750,1,NA,NA,NA,NA,NA,NA,NA,NA
"516",751,6,NA,32,33,18000,"DIGITAL",NA,2070.9615517,3
"517",752,1,NA,NA,NA,NA,NA,NA,NA,NA
"518",753,5,44100,36,46,11000,"PLASTIC",2,193.0309216,1
"519",756,3,NA,NA,NA,NA,NA,NA,NA,NA
"520",757,7,11560,49,39,600,"PLASTIC",2,3422.30918878,3
"521",758,7,11560,42,36,2800,"PLASTIC",1,4903.269070802,3
"522",759,3,NA,NA,NA,NA,NA,NA,NA,NA
"523",760,1,NA,NA,NA,NA,NA,NA,NA,NA
"524",761,9,44100,49,49,21300,"PLASTIC",5,3738.7532687,5
"525",763,3,NA,NA,NA,NA,NA,NA,NA,NA
"526",764,4,NA,43,32,13600,"DIGITAL",NA,54.0829632,1
"527",765,5,64000,33,39,13400,"PLASTIC",2,65.07475003,1
"528",766,3,NA,NA,NA,NA,NA,NA,NA,NA
"529",768,3,NA,NA,NA,NA,NA,NA,NA,NA
"530",769,1,NA,NA,NA,NA,NA,NA,NA,NA
"531",771,9,44100,40,33,33800,"PLASTIC",4,1917.35351594,5
"532",772,3,NA,NA,NA,NA,NA,NA,NA,NA
"533",774,8,NA,34,33,200,"DIGITAL",NA,2877.96557759,5
"534",775,1,NA,NA,NA,NA,NA,NA,NA,NA
"535",777,5,53100,35,38,8100,"PLASTIC",1,505.2699824,1
"536",778,8,44100,42,49,10900,"PLASTIC",2,3009.790081681,4
"537",779,8,11560,46,36,20200,"PLASTIC",1,20802.54226699,4
"538",781,3,NA,NA,NA,NA,NA,NA,NA,NA
"539",784,1,NA,NA,NA,NA,NA,NA,NA,NA
"540",785,6,11560,45,45,6300,"PLASTIC",1,718.8816457,2
"541",786,1,NA,NA,NA,NA,NA,NA,NA,NA
"542",787,3,NA,NA,NA,NA,NA,NA,NA,NA
"543",788,1,NA,NA,NA,NA,NA,NA,NA,NA
"544",789,6,64000,30,43,10100,"PLASTIC",2,444.04867495,2
"545",790,7,NA,44,33,9200,"DIGITAL",NA,471.87762169,4
"546",792,1,NA,NA,NA,NA,NA,NA,NA,NA
"547",793,3,NA,NA,NA,NA,NA,NA,NA,NA
"548",794,1,NA,NA,NA,NA,NA,NA,NA,NA
"549",795,1,NA,NA,NA,NA,NA,NA,NA,NA
"550",796,6,53100,34,32,70500,"PLASTIC",3,4899.3962596,2
"551",797,8,44100,42,36,17900,"PLASTIC",2,388.56078368,4
"552",798,1,NA,NA,NA,NA,NA,NA,NA,NA
"553",799,1,NA,NA,NA,NA,NA,NA,NA,NA
"554",801,1,NA,NA,NA,NA,NA,NA,NA,NA
"555",802,1,NA,NA,NA,NA,NA,NA,NA,NA
"556",803,3,NA,NA,NA,NA,NA,NA,NA,NA
"557",804,1,NA,NA,NA,NA,NA,NA,NA,NA
"558",805,1,NA,NA,NA,NA,NA,NA,NA,NA
"559",806,3,NA,NA,NA,NA,NA,NA,NA,NA
"560",808,3,NA,NA,NA,NA,NA,NA,NA,NA
"561",809,9,53100,42,39,13000,"PLASTIC",2,487.92652935,5
"562",810,1,NA,NA,NA,NA,NA,NA,NA,NA
"563",811,9,44100,36,47,0,"PLASTIC",3,2930.30122166,5
"564",812,7,53100,30,37,32300,"PLASTIC",3,3821.85230642,3
"565",813,9,64000,42,48,700,"PLASTIC",2,1322.05042844,5
"566",814,1,NA,NA,NA,NA,NA,NA,NA,NA
"567",816,9,44620,38,30,2400,"PLASTIC",3,5865.82975543,5
"568",818,6,53100,38,33,11400,"PLASTIC",3,536.17340457,2
"569",820,3,NA,NA,NA,NA,NA,NA,NA,NA
"570",821,1,NA,NA,NA,NA,NA,NA,NA,NA
"571",824,1,NA,NA,NA,NA,NA,NA,NA,NA
"572",825,1,NA,NA,NA,NA,NA,NA,NA,NA
"573",826,5,44620,37,30,15400,"PLASTIC",5,359.402568,1
"574",827,1,NA,NA,NA,NA,NA,NA,NA,NA
"575",829,3,NA,NA,NA,NA,NA,NA,NA,NA
"576",831,8,NA,32,42,22900,"DIGITAL",NA,3021.96139179,5
"577",832,5,44100,49,32,2200,"PLASTIC",1,31.4851499,1
"578",833,8,NA,49,41,13700,"DIGITAL",NA,4118.79144366,5
"579",834,1,NA,NA,NA,NA,NA,NA,NA,NA
"580",836,4,NA,46,34,14100,"DIGITAL",NA,5.618043498,1
"581",837,3,NA,NA,NA,NA,NA,NA,NA,NA
"582",838,8,11560,42,38,21100,"PLASTIC",2,4861.918910358,4
"583",839,1,NA,NA,NA,NA,NA,NA,NA,NA
"584",840,3,NA,NA,NA,NA,NA,NA,NA,NA
"585",841,4,NA,37,42,4200,"DIGITAL",NA,125.4513272,1
"586",843,1,NA,NA,NA,NA,NA,NA,NA,NA
"587",848,1,NA,NA,NA,NA,NA,NA,NA,NA
"588",851,8,NA,33,39,62200,"DIGITAL",NA,20016.12204038,5
"589",852,9,44620,31,42,1600,"PLASTIC",1,10076.719291866,5
"590",853,9,11560,35,42,6500,"PLASTIC",2,13308.71899199,5
"591",855,1,NA,NA,NA,NA,NA,NA,NA,NA
"592",856,3,NA,NA,NA,NA,NA,NA,NA,NA
"593",860,1,NA,NA,NA,NA,NA,NA,NA,NA
"594",865,3,NA,NA,NA,NA,NA,NA,NA,NA
"595",866,8,64000,33,36,17300,"PLASTIC",2,4218.9416406,4
"596",868,1,NA,NA,NA,NA,NA,NA,NA,NA
"597",869,3,NA,NA,NA,NA,NA,NA,NA,NA
"598",871,3,NA,NA,NA,NA,NA,NA,NA,NA
"599",872,1,NA,NA,NA,NA,NA,NA,NA,NA
"600",873,1,NA,NA,NA,NA,NA,NA,NA,NA
"601",875,8,11560,47,30,55100,"PLASTIC",3,345.327978129,4
"602",877,3,NA,NA,NA,NA,NA,NA,NA,NA
"603",879,3,NA,NA,NA,NA,NA,NA,NA,NA
"604",881,1,NA,NA,NA,NA,NA,NA,NA,NA
"605",883,1,NA,NA,NA,NA,NA,NA,NA,NA
"606",885,1,NA,NA,NA,NA,NA,NA,NA,NA
"607",886,4,11560,38,31,16200,"PLASTIC",0,NA,NA
"608",887,1,NA,NA,NA,NA,NA,NA,NA,NA
"609",888,1,NA,NA,NA,NA,NA,NA,NA,NA
"610",889,1,NA,NA,NA,NA,NA,NA,NA,NA
"611",890,4,NA,44,37,11600,"DIGITAL",NA,601.1630188,1
"612",892,1,NA,NA,NA,NA,NA,NA,NA,NA
"613",894,3,NA,NA,NA,NA,NA,NA,NA,NA
"614",895,3,NA,NA,NA,NA,NA,NA,NA,NA
"615",896,1,NA,NA,NA,NA,NA,NA,NA,NA
"616",898,1,NA,NA,NA,NA,NA,NA,NA,NA
"617",899,6,NA,47,35,17800,"DIGITAL",NA,14034.83076669,3
"618",901,3,NA,NA,NA,NA,NA,NA,NA,NA
"619",904,8,44620,48,32,17900,"PLASTIC",3,709.02696944,4
"620",905,1,NA,NA,NA,NA,NA,NA,NA,NA
"621",906,4,NA,41,34,3500,"DIGITAL",NA,526.6109386,1
"622",907,6,44100,48,47,32000,"PLASTIC",1,171.18255534,2
"623",908,9,53100,42,41,1700,"PLASTIC",2,8979.6266494,5
"624",909,1,NA,NA,NA,NA,NA,NA,NA,NA
"625",910,1,NA,NA,NA,NA,NA,NA,NA,NA
"626",913,1,NA,NA,NA,NA,NA,NA,NA,NA
"627",914,1,NA,NA,NA,NA,NA,NA,NA,NA
"628",917,7,53100,43,38,8800,"PLASTIC",1,153.6026859,3
"629",918,6,11560,48,49,3800,"PLASTIC",4,3684.5358161,2
"630",921,1,NA,NA,NA,NA,NA,NA,NA,NA
"631",923,6,44100,48,42,16200,"PLASTIC",1,2949.486668,2
"632",925,3,NA,NA,NA,NA,NA,NA,NA,NA
"633",926,1,NA,NA,NA,NA,NA,NA,NA,NA
"634",927,8,64000,49,39,9500,"PLASTIC",2,3947.0033201,4
"635",928,7,11560,30,41,5900,"PLASTIC",1,4417.342645758,3
"636",931,3,NA,NA,NA,NA,NA,NA,NA,NA
"637",933,7,44100,42,42,40200,"PLASTIC",2,593.25399781,3
"638",934,8,44620,39,48,36000,"PLASTIC",1,6680.8375515,4
"639",935,6,NA,32,31,3300,"DIGITAL",NA,2455.8341979,3
"640",936,3,NA,33,48,13500,"DIGITAL",NA,NA,NA
"641",937,1,NA,NA,NA,NA,NA,NA,NA,NA
"642",938,8,53100,38,36,18500,"PLASTIC",2,5015.55001364,4
"643",939,5,NA,35,48,25600,"DIGITAL",NA,823.3290307,2
"644",940,6,NA,46,40,10400,"DIGITAL",NA,413.16869191,3
"645",941,3,NA,NA,NA,NA,NA,NA,NA,NA
"646",943,8,11560,37,33,11500,"PLASTIC",0,6599.0646295,4
"647",944,5,44100,46,40,2000,"PLASTIC",1,386.0133062,1
"648",946,4,44620,41,33,17800,"PLASTIC",1,NA,NA
"649",947,1,NA,NA,NA,NA,NA,NA,NA,NA
"650",948,5,53100,33,30,5400,"PLASTIC",1,223.510082,1
"651",949,9,44100,46,43,47600,"PLASTIC",0,75544.83085852,5
"652",951,3,NA,49,39,25000,"DIGITAL",NA,NA,NA
"653",952,8,53100,40,39,12900,"PLASTIC",3,1163.49778124,4
"654",955,4,53100,35,46,4500,"PLASTIC",3,NA,NA
"655",957,3,NA,NA,NA,NA,NA,NA,NA,NA
"656",958,7,53100,41,44,9800,"PLASTIC",5,19914.88657307,3
"657",959,1,NA,NA,NA,NA,NA,NA,NA,NA
"658",960,3,NA,NA,NA,NA,NA,NA,NA,NA
"659",961,6,53100,46,32,37500,"PLASTIC",2,5629.6666672,2
"660",962,8,44100,36,31,9900,"PLASTIC",2,4260.93235665,4
"661",963,5,NA,38,32,19200,"DIGITAL",NA,60.049200883,2
"662",964,9,44100,48,40,7800,"PLASTIC",3,5429.885568201,5
"663",965,3,NA,NA,NA,NA,NA,NA,NA,NA
"664",967,1,NA,NA,NA,NA,NA,NA,NA,NA
"665",968,7,53100,45,40,29400,"PLASTIC",4,9356.50937059,3
"666",969,9,44620,31,33,5600,"PLASTIC",4,13180.3900239,5
"667",970,1,NA,NA,NA,NA,NA,NA,NA,NA
"668",971,3,NA,NA,NA,NA,NA,NA,NA,NA
"669",972,7,44620,37,31,3300,"PLASTIC",0,11572.0596013,3
"670",973,9,44620,30,46,61600,"PLASTIC",2,4102.29609218,5
"671",975,9,11560,30,42,13900,"PLASTIC",1,18731.27543919,5
"672",979,9,53100,36,42,4800,"PLASTIC",4,476.570292871,5
"673",981,1,NA,NA,NA,NA,NA,NA,NA,NA
"674",984,6,53100,34,32,24600,"PLASTIC",3,1042.25769228,2
"675",986,1,NA,NA,NA,NA,NA,NA,NA,NA
"676",987,5,53100,37,38,17200,"PLASTIC",2,101.7717135,1
"677",989,1,NA,NA,NA,NA,NA,NA,NA,NA
"678",990,5,NA,45,48,3400,"DIGITAL",NA,398.0832067,2
"679",991,1,NA,NA,NA,NA,NA,NA,NA,NA
"680",992,3,NA,NA,NA,NA,NA,NA,NA,NA
"681",993,7,11560,40,38,22200,"PLASTIC",2,231.169052615,3
"682",994,8,44620,31,34,23100,"PLASTIC",2,7864.865299217,4
"683",995,3,NA,NA,NA,NA,NA,NA,NA,NA
"684",996,5,NA,46,43,45700,"DIGITAL",NA,1037.28320412,2
"685",1001,4,NA,34,33,18600,"DIGITAL",NA,681.7330218,1
"686",1002,3,NA,NA,NA,NA,NA,NA,NA,NA
"687",1003,8,44100,33,30,2600,"PLASTIC",3,4683.73001203,4
"688",1004,1,NA,NA,NA,NA,NA,NA,NA,NA
"689",1005,1,NA,NA,NA,NA,NA,NA,NA,NA
"690",1006,1,NA,NA,NA,NA,NA,NA,NA,NA
"691",1007,9,44100,32,33,11300,"PLASTIC",2,6204.15403841,5
"692",1011,1,NA,NA,NA,NA,NA,NA,NA,NA
"693",1015,6,44620,49,36,13900,"PLASTIC",2,6417.6693123,2
"694",1016,9,64000,32,39,7300,"PLASTIC",3,872.96102092,5
"695",1018,3,NA,NA,NA,NA,NA,NA,NA,NA
"696",1019,3,NA,NA,NA,NA,NA,NA,NA,NA
"697",1020,9,11560,37,46,14800,"PLASTIC",0,5800.13332343,5
"698",1021,1,NA,NA,NA,NA,NA,NA,NA,NA
"699",1023,8,NA,42,45,16000,"DIGITAL",NA,9428.6496839,5
"700",1024,8,44100,42,39,3100,"PLASTIC",0,1643.70151151,4
"701",1025,9,11560,34,32,9500,"PLASTIC",3,4568.99767631,5
"702",1026,5,44100,46,32,8800,"PLASTIC",2,524.0128549,1
"703",1027,1,NA,NA,NA,NA,NA,NA,NA,NA
"704",1028,3,NA,NA,NA,NA,NA,NA,NA,NA
"705",1029,9,44100,45,42,3700,"PLASTIC",1,1923.088554845,5
"706",1031,1,NA,NA,NA,NA,NA,NA,NA,NA
"707",1032,3,NA,NA,NA,NA,NA,NA,NA,NA
"708",1033,3,NA,NA,NA,NA,NA,NA,NA,NA
"709",1034,3,NA,NA,NA,NA,NA,NA,NA,NA
"710",1035,1,NA,NA,NA,NA,NA,NA,NA,NA
"711",1036,5,44100,35,37,11200,"PLASTIC",0,9329.61716,1
"712",1038,1,NA,NA,NA,NA,NA,NA,NA,NA
"713",1039,3,NA,NA,NA,NA,NA,NA,NA,NA
"714",1040,4,11560,30,48,10100,"PLASTIC",4,NA,NA
"715",1041,1,NA,NA,NA,NA,NA,NA,NA,NA
"716",1044,4,53100,49,44,4300,"PLASTIC",1,NA,NA
"717",1045,7,44100,46,47,24600,"PLASTIC",2,3343.9638277,3
"718",1048,1,NA,NA,NA,NA,NA,NA,NA,NA
"719",1049,3,NA,NA,NA,NA,NA,NA,NA,NA
"720",1052,7,NA,32,32,4200,"DIGITAL",NA,4468.70417384,4
"721",1055,3,NA,NA,NA,NA,NA,NA,NA,NA
"722",1056,7,53100,49,39,42400,"PLASTIC",3,10109.46890557,3
"723",1059,9,44620,33,47,5500,"PLASTIC",2,1205.39898038,5
"724",1060,4,NA,46,30,700,"DIGITAL",NA,39.67814679,1
"725",1061,8,11560,45,45,8600,"PLASTIC",2,2921.5640047,4
"726",1063,7,NA,48,30,82700,"DIGITAL",NA,4506.4180625,4
"727",1064,7,NA,41,30,24500,"DIGITAL",NA,112231.15319293,4
"728",1065,1,NA,NA,NA,NA,NA,NA,NA,NA
"729",1066,1,NA,NA,NA,NA,NA,NA,NA,NA
"730",1067,3,NA,NA,NA,NA,NA,NA,NA,NA
"731",1068,1,NA,NA,NA,NA,NA,NA,NA,NA
"732",1070,1,NA,NA,NA,NA,NA,NA,NA,NA
"733",1071,1,NA,NA,NA,NA,NA,NA,NA,NA
"734",1072,1,NA,NA,NA,NA,NA,NA,NA,NA
"735",1073,8,44100,37,42,18900,"PLASTIC",2,1353.443775797,4
"736",1074,3,NA,NA,NA,NA,NA,NA,NA,NA
"737",1075,1,NA,NA,NA,NA,NA,NA,NA,NA
"738",1076,1,NA,NA,NA,NA,NA,NA,NA,NA
"739",1078,3,NA,NA,NA,NA,NA,NA,NA,NA
"740",1083,8,53100,37,47,5200,"PLASTIC",2,4246.2476799,4
"741",1085,6,NA,37,46,900,"DIGITAL",NA,3365.2134551,3
"742",1086,4,44620,38,37,27800,"PLASTIC",1,NA,NA
"743",1087,3,NA,40,40,19300,"DIGITAL",NA,NA,NA
"744",1090,4,11560,35,33,16200,"PLASTIC",1,NA,NA
"745",1092,1,NA,NA,NA,NA,NA,NA,NA,NA
"746",1093,1,NA,NA,NA,NA,NA,NA,NA,NA
"747",1096,1,NA,NA,NA,NA,NA,NA,NA,NA
"748",1097,3,NA,NA,NA,NA,NA,NA,NA,NA
"749",1099,5,11560,47,46,7600,"PLASTIC",2,11370.10967,1
"750",1100,1,NA,NA,NA,NA,NA,NA,NA,NA
"751",1101,4,11560,45,33,29900,"PLASTIC",0,NA,NA
"752",1105,4,64000,38,48,26000,"PLASTIC",4,NA,NA
"753",1106,3,NA,NA,NA,NA,NA,NA,NA,NA
"754",1108,1,NA,NA,NA,NA,NA,NA,NA,NA
"755",1109,6,53100,31,44,11500,"PLASTIC",4,3174.1337943,2
"756",1110,3,NA,NA,NA,NA,NA,NA,NA,NA
"757",1113,5,64000,46,46,10700,"PLASTIC",5,278.5030994,1
"758",1115,8,53100,45,43,8100,"PLASTIC",0,156.692826399,4
"759",1117,9,11560,41,36,18500,"PLASTIC",3,5339.16968313,5
"760",1118,7,11560,32,35,10100,"PLASTIC",1,898.378082289,3
"761",1120,1,NA,NA,NA,NA,NA,NA,NA,NA
"762",1121,7,44100,35,46,39000,"PLASTIC",3,760.20445397,3
"763",1122,6,53100,35,40,41200,"PLASTIC",3,1067.40627214,2
"764",1123,5,44100,30,38,900,"PLASTIC",1,49.27004805,1
"765",1124,1,NA,NA,NA,NA,NA,NA,NA,NA
"766",1126,6,53100,43,38,19800,"PLASTIC",2,95791.55668316,2
"767",1128,8,64000,38,41,3900,"PLASTIC",2,992.472790289,4
"768",1130,1,NA,NA,NA,NA,NA,NA,NA,NA
"769",1131,8,NA,33,30,12200,"DIGITAL",NA,11080.6560272,5
"770",1132,5,NA,41,36,700,"DIGITAL",NA,197.76772381,2
"771",1133,8,NA,45,39,61200,"DIGITAL",NA,909.51472501,5
"772",1135,8,11560,41,47,1200,"PLASTIC",1,19779.39894832,4
"773",1136,1,NA,NA,NA,NA,NA,NA,NA,NA
"774",1137,7,64000,45,46,35300,"PLASTIC",1,3396.5832189,3
"775",1140,1,NA,NA,NA,NA,NA,NA,NA,NA
"776",1141,3,NA,NA,NA,NA,NA,NA,NA,NA
"777",1142,3,NA,NA,NA,NA,NA,NA,NA,NA
"778",1144,1,NA,NA,NA,NA,NA,NA,NA,NA
"779",1145,3,NA,NA,NA,NA,NA,NA,NA,NA
"780",1147,9,11560,49,31,34300,"PLASTIC",3,4099.18227599,5
"781",1148,1,NA,NA,NA,NA,NA,NA,NA,NA
"782",1149,7,53100,37,43,19000,"PLASTIC",3,928.993913,3
"783",1150,1,NA,NA,NA,NA,NA,NA,NA,NA
"784",1151,1,NA,NA,NA,NA,NA,NA,NA,NA
"785",1152,8,44100,35,31,11600,"PLASTIC",2,2247.890221136,4
"786",1153,3,NA,NA,NA,NA,NA,NA,NA,NA
"787",1154,3,NA,NA,NA,NA,NA,NA,NA,NA
"788",1155,7,NA,31,46,5300,"DIGITAL",NA,13409.06818151,4
"789",1156,1,NA,NA,NA,NA,NA,NA,NA,NA
"790",1157,3,NA,49,39,5600,"DIGITAL",NA,NA,NA
"791",1158,1,NA,NA,NA,NA,NA,NA,NA,NA
"792",1163,1,NA,NA,NA,NA,NA,NA,NA,NA
"793",1167,3,NA,NA,NA,NA,NA,NA,NA,NA
"794",1169,3,NA,NA,NA,NA,NA,NA,NA,NA
"795",1170,5,NA,43,48,3600,"DIGITAL",NA,10896.9025853,2
"796",1171,3,NA,43,32,8900,"DIGITAL",NA,NA,NA
"797",1174,8,NA,39,41,2700,"DIGITAL",NA,4736.493374381,5
"798",1176,1,NA,NA,NA,NA,NA,NA,NA,NA
"799",1179,3,NA,NA,NA,NA,NA,NA,NA,NA
"800",1180,3,NA,NA,NA,NA,NA,NA,NA,NA
"801",1181,1,NA,NA,NA,NA,NA,NA,NA,NA
"802",1183,1,NA,NA,NA,NA,NA,NA,NA,NA
"803",1185,1,NA,NA,NA,NA,NA,NA,NA,NA
"804",1186,1,NA,NA,NA,NA,NA,NA,NA,NA
"805",1187,1,NA,NA,NA,NA,NA,NA,NA,NA
"806",1188,4,NA,37,32,72800,"DIGITAL",NA,390.2844566,1
"807",1190,3,NA,NA,NA,NA,NA,NA,NA,NA
"808",1191,1,NA,NA,NA,NA,NA,NA,NA,NA
"809",1193,3,NA,NA,NA,NA,NA,NA,NA,NA
"810",1194,3,NA,NA,NA,NA,NA,NA,NA,NA
"811",1195,5,44620,45,41,8000,"PLASTIC",2,382.4013637,1
"812",1196,1,NA,NA,NA,NA,NA,NA,NA,NA
"813",1197,1,NA,NA,NA,NA,NA,NA,NA,NA
"814",1199,4,11560,41,45,3700,"PLASTIC",5,NA,NA
"815",1200,7,53100,31,43,23600,"PLASTIC",2,530.88758322,3
"816",1201,5,NA,38,45,1800,"DIGITAL",NA,666.62963456,2
"817",1202,1,NA,NA,NA,NA,NA,NA,NA,NA
"818",1204,6,44100,30,33,22600,"PLASTIC",0,2314.855211,2
"819",1206,3,NA,NA,NA,NA,NA,NA,NA,NA
"820",1207,1,NA,NA,NA,NA,NA,NA,NA,NA
"821",1208,1,NA,NA,NA,NA,NA,NA,NA,NA
"822",1212,3,NA,NA,NA,NA,NA,NA,NA,NA
"823",1214,1,NA,NA,NA,NA,NA,NA,NA,NA
"824",1215,5,44100,36,30,900,"PLASTIC",3,1634.714082,1
"825",1216,1,NA,NA,NA,NA,NA,NA,NA,NA
"826",1217,8,NA,38,31,20900,"DIGITAL",NA,7722.9672465,5
"827",1218,3,NA,NA,NA,NA,NA,NA,NA,NA
"828",1222,7,44620,41,47,7500,"PLASTIC",2,1408.707634737,3
"829",1223,4,NA,44,38,37000,"DIGITAL",NA,69.96562044,1
"830",1224,3,NA,NA,NA,NA,NA,NA,NA,NA
"831",1225,1,NA,NA,NA,NA,NA,NA,NA,NA
"832",1227,1,NA,NA,NA,NA,NA,NA,NA,NA
"833",1229,1,NA,NA,NA,NA,NA,NA,NA,NA
"834",1231,1,NA,NA,NA,NA,NA,NA,NA,NA
"835",1233,5,NA,32,44,800,"DIGITAL",NA,1584.2214832,2
